blind_id,source_group,split,direct_label,sample_count,analysis_source
B6fab7dcbfcc5,S41983e9ca40a,train,unknown,20,interval_analysis
B707e4f78da7e,S41983e9ca40a,train,unknown,20,interval_analysis
B70ddf43ba3d6,S38533928bb7e,train,gaze_side,20,source_analysis
B70df47aed77e,S38533928bb7e,train,gaze_side,14,source_analysis
B70e487b73560,S48590909d975,test,focus,12,interval_analysis
B714e96ddb866,S38533928bb7e,train,gaze_down,20,source_analysis
B717fb6fb455d,Sd507e72fb21a,train,unknown,20,interval_analysis
B724daf4418f2,S38533928bb7e,train,gaze_down,12,source_analysis
B731380f2b447,S38533928bb7e,train,gaze_side,20,source_analysis
B73b72e181c96,Se9ae4c661219,train,focus,20,interval_analysis
B766b962e269d,S368e74a47605,test,focus,20,interval_analysis
B77a065af4906,S70201e8c3420,test,unknown,20,interval_analysis
B78364af4077b,S41983e9ca40a,train,unknown,20,interval_analysis
B78f2a6f8569b,S08ea3e793bb0,train,focus,20,interval_analysis
B7944329fa6f8,Se9ae4c661219,train,focus,20,interval_analysis
B796bb42e8d17,S368e74a47605,test,focus,20,interval_analysis
B79acc62da3dc,Sa7b4c3e91778,test,focus,20,interval_analysis
B7ac3300358bf,S6e15552f6684,test,unknown,20,interval_analysis
B7b15f6115d25,S9db00ba1fd68,test,focus,20,interval_analysis
B7b86ac749fba,S08ea3e793bb0,train,focus,20,interval_analysis
B7cf4e5561691,Sb97749af3711,train,unknown,20,interval_analysis
B7e24892c7fd0,S70201e8c3420,test,unknown,20,interval_analysis
B804d9be97660,Sc17507c06476,train,focus,20,interval_analysis
B815dabb163ee,S8bb31e565816,train,focus,20,interval_analysis
B81ee20ce8f89,Sc17507c06476,train,focus,20,interval_analysis
B82eac082599f,S41983e9ca40a,train,unknown,20,interval_analysis
B8370e8d9d2f8,Se9ae4c661219,train,focus,20,interval_analysis
B837e8611b535,Sb97749af3711,train,unknown,20,interval_analysis
B83815b942ae8,S38533928bb7e,train,gaze_side,20,source_analysis
B841b6b7d3924,Sc17507c06476,train,focus,20,interval_analysis
B84a5ce069ee6,S08ea3e793bb0,train,focus,20,interval_analysis
B84c460af0eba,Se9ae4c661219,train,focus,20,interval_analysis
B85134a0873b4,S48590909d975,test,gaze_side,10,interval_analysis
B8541bae818d0,S6e15552f6684,test,unknown,20,interval_analysis
B865ad970b004,Sc17507c06476,train,focus,20,interval_analysis
B865febd73fd0,Sc17507c06476,train,focus,20,interval_analysis
B8913701a4041,Se9ae4c661219,train,focus,20,interval_analysis
B897141fd2930,Sb97749af3711,train,unknown,20,interval_analysis
B8b06a1351c2d,S38533928bb7e,train,focus,12,source_analysis
B8bc92b8546e5,S08ea3e793bb0,train,focus,20,interval_analysis
B8c83e1a04e14,Sb97749af3711,train,unknown,20,interval_analysis
B900b45b8feba,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B924d5977473b,S38533928bb7e,train,gaze_side,10,source_analysis
B92b5c6bf97c4,Sb97749af3711,train,unknown,20,interval_analysis
B946bd6652a4f,S5667ac92ef2d,test,drowsy,20,interval_analysis
B95fc31c3ec27,S38533928bb7e,train,gaze_side,20,source_analysis
B9613aa6aee17,Sb97749af3711,train,unknown,20,interval_analysis
B96298e0928b1,Sb97749af3711,train,unknown,20,interval_analysis
B96c4e38631c0,S38533928bb7e,train,gaze_down,20,source_analysis
B97bf08deb317,S5667ac92ef2d,test,drowsy,20,interval_analysis
B988306245432,S368e74a47605,test,focus,20,interval_analysis
B98b88ef5562f,Sb97749af3711,train,unknown,20,interval_analysis
B9901afbb9c4a,S38533928bb7e,train,drowsy,20,source_analysis
B9a3d76579ec7,Sb97749af3711,train,unknown,20,interval_analysis
B9a45c0ed6012,Sb97749af3711,train,unknown,20,interval_analysis
B9a605f159985,S368e74a47605,test,focus,20,interval_analysis
B9ad923faf896,Sd507e72fb21a,train,unknown,20,interval_analysis
B9add06ec4730,S38533928bb7e,train,gaze_side,20,source_analysis
B9b1b6ae2e99b,S08ea3e793bb0,train,focus,20,interval_analysis
B9c7316197915,Se9ae4c661219,train,focus,20,interval_analysis
B9e0694cd02aa,S8bb31e565816,train,focus,20,interval_analysis
B9e2276589f19,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B9e30344118af,S8bb31e565816,train,focus,20,interval_analysis
B9e6e29b4f61a,S38533928bb7e,train,focus,12,source_analysis
B9ead41ea5e4e,S48590909d975,test,gaze_side,12,interval_analysis
Ba082d6cdb22a,Sc17507c06476,train,focus,20,interval_analysis
Ba23d6cd1f6d4,S5667ac92ef2d,test,gaze_down,20,interval_analysis
Ba26a8d7667b7,Sb97749af3711,train,unknown,20,interval_analysis
Ba2e73741953d,S08ea3e793bb0,train,focus,20,interval_analysis
Ba49a423cbabe,S38533928bb7e,train,gaze_down,16,source_analysis
Ba5750b2442c4,S38533928bb7e,train,gaze_side,10,source_analysis
Ba5cb0c2db79c,S41983e9ca40a,train,unknown,20,interval_analysis
Ba753ec695167,Sa2e1233d8e16,test,unknown,20,interval_analysis
Ba9b778347e03,Se9ae4c661219,train,focus,20,interval_analysis
Baa6437970846,S38533928bb7e,train,gaze_down,20,source_analysis
Baa9fc2bb117a,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Bab6a61cb1169,S38533928bb7e,train,gaze_down,20,source_analysis
Bababe7127fe5,Se9ae4c661219,train,focus,20,interval_analysis
Bac72958199f3,S38533928bb7e,train,gaze_side,20,source_analysis
Bad2e071fc6bd,S38533928bb7e,train,gaze_side,10,source_analysis
Bad5aca2a53cf,S9db00ba1fd68,test,focus,20,interval_analysis
Badaad500a4d0,S08ea3e793bb0,train,focus,20,interval_analysis
Badcd3211c00b,S08ea3e793bb0,train,focus,20,interval_analysis
Bae2006cff9e7,S38533928bb7e,train,gaze_side,20,source_analysis
Baea041c0b629,S38533928bb7e,train,focus,20,source_analysis
Baf3e67e39e5f,S08ea3e793bb0,train,focus,20,interval_analysis
Baf53fb57c486,Sc17507c06476,train,focus,20,interval_analysis
Bb263cd2079c9,S08ea3e793bb0,train,focus,20,interval_analysis
Bb297301dfe60,S48590909d975,test,gaze_side,10,interval_analysis
Bb298814099d3,Se9ae4c661219,train,focus,20,interval_analysis
Bb3e06a79a77b,S38533928bb7e,train,gaze_down,18,source_analysis
Bb44c98468164,S8bb31e565816,train,focus,20,interval_analysis
Bb5b028999a36,S8bb31e565816,train,focus,20,interval_analysis
Bb6b277e2f77e,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Bb6fca93f1c60,Sc17507c06476,train,focus,20,interval_analysis
Bb726bab2fccc,Sd507e72fb21a,train,unknown,20,interval_analysis
Bb806aa78a061,S38533928bb7e,train,gaze_down,20,source_analysis
Bb92e50ee0f0e,S48590909d975,test,gaze_side,18,interval_analysis
Bb931b8bfb82d,S38533928bb7e,train,focus,14,source_analysis
Bbad06cb7baae,S08ea3e793bb0,train,focus,20,interval_analysis
Bbdd49008b10f,S38533928bb7e,train,gaze_down,12,source_analysis
Bbe5c0472e6bd,Sb97749af3711,train,unknown,20,interval_analysis
Bbe7750ad7788,Sc17507c06476,train,focus,20,interval_analysis
Bbf346fe2bf9b,S08ea3e793bb0,train,focus,20,interval_analysis
Bbf3714adbf63,Sb97749af3711,train,unknown,20,interval_analysis
Bbf4148cf8de3,S70201e8c3420,test,unknown,20,interval_analysis
Bbff99994d430,S38533928bb7e,train,focus,16,source_analysis
Bc060e46fe637,S38533928bb7e,train,gaze_down,12,source_analysis
Bc11cc5cb344c,Sd507e72fb21a,train,unknown,20,interval_analysis
Bc18c3fff2902,S38533928bb7e,train,gaze_down,16,source_analysis
Bc1c074e17d13,S08ea3e793bb0,train,focus,20,interval_analysis
Bc3f221523f0c,S38533928bb7e,train,gaze_side,12,source_analysis
Bc48c472c015e,Se9ae4c661219,train,focus,20,interval_analysis
Bc56b9724f2af,S6e15552f6684,test,unknown,20,interval_analysis
Bc5727cc12bd7,S08ea3e793bb0,train,focus,20,interval_analysis
Bc5c28df6dcfd,Sc17507c06476,train,focus,20,interval_analysis
Bc61eec2c9f81,Se9ae4c661219,train,focus,20,interval_analysis
Bc62c788f3e6a,Se9ae4c661219,train,focus,20,interval_analysis
Bc856f4727b9b,S41983e9ca40a,train,unknown,20,interval_analysis
Bc9b4bfaac0e9,S38533928bb7e,train,drowsy,20,source_analysis
Bc9fcb4d971c2,S38533928bb7e,train,focus,20,source_analysis
Bca0da7bb3e2f,Sb97749af3711,train,unknown,20,interval_analysis
Bca7ed33ea0d7,Sd507e72fb21a,train,unknown,20,interval_analysis
Bcb63c2cfce04,S08ea3e793bb0,train,focus,20,interval_analysis
Bcc93a7320b2b,S38533928bb7e,train,gaze_down,20,source_analysis
Bcffbb59ac8f9,S368e74a47605,test,focus,20,interval_analysis
Bd25210c9712b,S38533928bb7e,train,gaze_down,20,source_analysis
Bd27326539456,S38533928bb7e,train,drowsy,20,source_analysis
Bd2962b16cdca,Sb97749af3711,train,unknown,20,interval_analysis
Bd335c0a1f108,S38533928bb7e,train,gaze_down,12,source_analysis
Bd3671727d11b,S38533928bb7e,train,gaze_down,20,source_analysis
Bd4f869838d91,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Bd57b1db7d6f8,S8bb31e565816,train,gaze_side,20,interval_analysis
Bd57ba49ffcc6,S38533928bb7e,train,gaze_down,20,source_analysis
Bd5beec3b4242,Sb97749af3711,train,unknown,20,interval_analysis
Bd5eaa4f3849f,Sd507e72fb21a,train,unknown,20,interval_analysis
Bd6786ae51740,S9db00ba1fd68,test,focus,20,interval_analysis
Bd84d20d16650,S41983e9ca40a,train,unknown,20,interval_analysis
Bd9c21ecd8685,S70201e8c3420,test,unknown,20,interval_analysis
Bda3368bf33b6,S48590909d975,test,focus,10,interval_analysis
Bdab1f02b58f5,S08ea3e793bb0,train,focus,20,interval_analysis
Bdae84016f945,S38533928bb7e,train,gaze_down,20,source_analysis
Bdbe83197f61c,S08ea3e793bb0,train,focus,20,interval_analysis
Bdc1e8ed774aa,S08ea3e793bb0,train,focus,20,interval_analysis
Bdcdd78172586,S38533928bb7e,train,gaze_side,20,source_analysis
Bdeb041c28fce,S08ea3e793bb0,train,focus,20,interval_analysis
Bdf5d69a319e8,Sa7b4c3e91778,test,focus,20,interval_analysis
Be0a3d350917b,S5667ac92ef2d,test,focus,20,interval_analysis
Be46379202eb9,S9bc42787ea58,test,focus,20,interval_analysis
Be51196803770,Sc17507c06476,train,focus,20,interval_analysis
Be5367685f0ce,S48590909d975,test,focus,14,interval_analysis
Be5540990f551,S38533928bb7e,train,drowsy,20,source_analysis
Be7210e7bf984,Sa2e1233d8e16,test,unknown,20,interval_analysis
Beac1d2795264,Se9ae4c661219,train,focus,20,interval_analysis
Bebe350ce09cb,Sb97749af3711,train,unknown,20,interval_analysis
Bec106577668c,S9db00ba1fd68,test,focus,20,interval_analysis
Bec4c1f6f9489,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Becfe7a43f9f7,Sb97749af3711,train,unknown,20,interval_analysis
Bed12510f6767,Sb97749af3711,train,unknown,20,interval_analysis
Beddf4f1442f6,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Befe5013d742e,S08ea3e793bb0,train,focus,20,interval_analysis
Beffeaac9e785,S38533928bb7e,train,gaze_side,20,source_analysis
Bf0ca9052c30f,S38533928bb7e,train,gaze_side,10,source_analysis
Bf1153e89ccce,Sb97749af3711,train,unknown,20,interval_analysis
Bf120d6f70853,S38533928bb7e,train,focus,20,source_analysis
Bf2b093b34fd5,Sc17507c06476,train,focus,20,interval_analysis
Bf3a55c8f5671,Sb97749af3711,train,unknown,10,interval_analysis
Bf468ec3e7949,S38533928bb7e,train,gaze_side,18,source_analysis
Bf4a4d4bf1831,S38533928bb7e,train,drowsy,14,source_analysis
Bf4e46daf9ec0,S08ea3e793bb0,train,focus,20,interval_analysis
Bf56cd77bbc4a,S38533928bb7e,train,drowsy,20,source_analysis
Bf63b1ae242e5,Se9ae4c661219,train,focus,20,interval_analysis
Bf6b513da8c87,S8bb31e565816,train,gaze_side,20,interval_analysis
Bf7624958fab3,Se9ae4c661219,train,focus,20,interval_analysis
Bf77ccb3d916b,S08ea3e793bb0,train,focus,20,interval_analysis
Bf8dac5079400,S368e74a47605,test,focus,20,interval_analysis
Bf983293e2109,S38533928bb7e,train,gaze_side,20,source_analysis
Bf9a084b6b05f,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Bfb793b4fecc1,Sd507e72fb21a,train,unknown,20,interval_analysis
Bfbc7742df914,S8bb31e565816,train,focus,20,interval_analysis
Bfc42a381629a,S5667ac92ef2d,test,gaze_down,20,interval_analysis
Bfc5341bc5651,Sd507e72fb21a,train,unknown,20,interval_analysis
Bfc95cdf8b723,S368e74a47605,test,focus,20,interval_analysis
Bfcbb5325c214,S8bb31e565816,train,gaze_side,20,interval_analysis
Bfd25b7b7a70a,Sd507e72fb21a,train,unknown,20,interval_analysis
Bfebb98439f6f,S38533928bb7e,train,drowsy,16,source_analysis
Bfee3f95bff1f,S38533928bb7e,train,drowsy,20,source_analysis
Bff0c016c818a,S38533928bb7e,train,drowsy,16,source_analysis
Bffee9d076d50,Sf8cdbc0a93cc,train,focus,20,interval_analysis
Bfffe3c1a58f4,S38533928bb7e,train,gaze_side,10,source_analysis
